"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:13:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:14:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:14:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:15:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:15:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:16:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:16:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:17:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:17:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:18:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:18:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:19:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:19:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:20:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:20:33"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:21:03"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:21:33"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:22:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:22:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:23:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:23:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:24:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:24:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:25:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:25:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:26:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:26:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:27:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:27:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:28:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:28:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:29:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:29:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:30:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:30:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:31:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:31:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:32:03"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:32:33"
"704"|"10.76774"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:33:03"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:33:33"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:34:03"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:34:33"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:35:03"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:35:33"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:36:03"
"704"|"10.76773"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:36:33"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:37:03"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 01:37:33"
"704"|"10.76772"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:38:03"
"704"|"10.76772"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:38:33"
"704"|"10.76772"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:39:03"
"704"|"10.76773"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:39:33"
"704"|"10.76773"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:40:03"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:40:33"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:41:03"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:41:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:42:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:42:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:43:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:43:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:44:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:44:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:45:03"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:45:33"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 01:46:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:46:33"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:47:03"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:47:33"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:48:03"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:48:33"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:49:03"
"704"|"10.76776"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:49:33"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:50:03"
